"Url","Date","Title","Description","Location","Full_Date","Time","Human_Dates"
"https://events.reed.edu/event/visiting-writers-series-e-lily-you","Thursday, October 10, 2024 6:30pm","Visiting Writers Series: E. Lily Yu","
    E. Lily Yu is the author of On Fragile Waves, which won the Washington Book Award; Jewel Box, which was a finalist for the L.A. Times Book Prize; and Break, Blow, Burn, & Make. She is also a recipient of the Artist Trust LaSalle Storyteller Award and the Astounding Award for Best New Writer. Her short stories have been finalists for every major award in science fiction and fantasy.

Free and open to the public.

  ","Eliot Hall, Chapel",2024-10-10,"6:30pm","Thursday, October 10, 2024"
"https://events.reed.edu/event/lgbtq-tabling","Friday, October 11, 2024 11am to 1:30pm","LGBTQ Tabling","
    As part of National Coming Out Day staff from the HCC will be tabling outside of Commons with information on all of the supportive mental health and medical services available for LGBTQ+ students at the HCC. Come get your questions answered and feel celebrated by getting a cool new sticker or pronoun pin!

  ","Gray Campus Center, Patio",2024-10-11,"11am to 1:30pm","Friday, October 11, 2024"
"https://events.reed.edu/event/reedies-vote-national-voter-education-week-tabling","Friday, October 11, 2024 11am to 1pm","Reedies VOTE: National Voter Education Week Tabling","
    Stop by SEEDS's Voter Engagement team's table at the GCC Patio on Friday 10/11/24 from 11am-1pm!

We will be sharing Voter Education Week resources and hosting a mini game for you to win fun Halloween candies!

  ",NA,2024-10-11,"11am to 1pm","Friday, October 11, 2024"
"https://events.reed.edu/event/biology-seminar-dr-fey","Friday, October 11, 2024 12pm to 12:50pm","Biology Seminar: Dr. Sam Fey","
    ""Resolving the ecological causes and consequences of animal mass mortality events""

Death is a ubiquitous demographic process central to understanding ecological and evolutionary dynamics. Although all organisms eventually die, the timing and magnitude of deaths within populations varies greatly. In contrast to mortality that affects one specific age or stage class, mass mortality events (MMEs) represent demographic catastrophes that can simultaneously affect all life stages and can rapidly remove a substantial proportion of a population over a short period of time relative to the generation time of the organism. Yet due to their rare and unpredictable nature, we lack an understanding of how MMEs impact ecosystems– which is disconcerting in the wake of ongoing global and regional perturbations to natural systems. This seminar will focus on the use of observational data, mathematical models, and experiments that collectively address what the primary causes and ecological consequences of MMEs are in three parts. I will 1) describe contemporary patterns in the occurrence, cause, and magnitude of animal mass mortality events, 2) present food web theory aimed at understanding the ecological aftermath of MMEs, and 3) present the results of a recent experiment aimed at testing this theory using freshwater lake food webs.

Dr. Sam Fey's resesarch seeks to understand how environmental variation both maintain and erode the composition, structure, and functioning of biological comm [...]","Biology, Biology 19",2024-10-11,"12pm to 12:50pm","Friday, October 11, 2024"
"https://events.reed.edu/event/calming-kits-workshop","Friday, October 11, 2024 2pm to 4pm","Calming Kits Workshop","
    We will be decorating individualized ""treasure chests"" and filling them with items that you can use to calm and soothe yourself whenever you are feeling anxious or overwhelmed. You'll also have the chance to connect with other Reedies while learning new skills for supporting your emotional well being. All supplies are included! 

 

Please sign up using the link below if you would like to attend the Calming Kits workshop! You will need to be signed into your Reed email account to sign up.

  ","Gray Campus Center, C",2024-10-11,"2pm to 4pm","Friday, October 11, 2024"
"https://events.reed.edu/event/evidence-based-strategies-for-learning-foreign-languages","Friday, October 11, 2024 4pm","Evidence-Based Strategies for Learning Foreign Languages","
    In her talk, Dr. Kisselev will engage students and teachers of various modern languages in a discussion about effective strategies for language acquisition. Drawing on the latest advancements in second language acquisition research, psycholinguistics, neurolinguistics, learning theory, and time-tested instructional practices, she will offer advice that will help students excel in their language study while enjoying the learning process.

Olesya Kisselev is an assistant professor in the Department of Languages, Literatures and Cultures at the University of South Carolina. Dr. Kisselev is a linguist studying  second language acquisition, a topic of her many published research papers, book chapters, and edited volumes. She has also authored award-winning language learning materials. 

Free and open to the public. Sponsored by the Division of Literature & Languages.

  ","Eliot Hall, 314",2024-10-11,"4pm","Friday, October 11, 2024"
"https://events.reed.edu/event/af-am-history-docs-silver-dollar-road-2023","Friday, October 11, 2024 7pm to 9pm","Af-Am History Docs: Silver Dollar Road (2023)","
    We invite you to join us for Part III in a free series of four African American history–related documentary film screenings presented by professor of music, Mark Burford. Admission is free. 

Silver Dollar Road (2023)Directed by Raoul Peck

Silver Dollar Road follows the story of the Reels family as told by the matriarch Mamie Reels Ellison and her niece Kim Renee Duhon, two fierce women defending their rights and fighting to protect their ancestor’s land and their brothers and uncles Melvin and Licurtis, who were imprisoned for eight years—the longest sentence for civil contempt in North Carolina history. The film highlights the ways the legal system is exploited to limit land ownership in Black communities and further contributes to the racial wealth gap.

TrailerFilm website

Final event in this series:November 1: Attica (2021)

  ","Performing Arts Building, PAB 320",2024-10-11,"7pm to 9pm","Friday, October 11, 2024"
"https://events.reed.edu/event/gray-fund-outdoors-presents-bungee-jumping","Saturday, October 12, 2024","Gray Fund Outdoors Presents: Bungee Jumping","
    If Gray Fund Outdoors jumped off a bridge would you?? Join us to bungee jump off the highest bungee bridge in North America!!

Lottery Link Here! Participants will be chosen on Wednesday 10/9 at Noon

  ",NA,2024-10-12,"","Saturday, October 12, 2024"
"https://events.reed.edu/event/forest-park-restoration-seeds-volunteer-trip","Saturday, October 12, 2024 9am to 12pm","Forest Park Restoration SEEDS Volunteer Trip","
    Join SEEDS on our off-campus volunteer trip!

We will be heading to Forest Park for a restoration volunteer event on Saturday, 10/12, from 9am to 12pm.  Transportation is provided and we will end the trip with a lunch together!  More details to come after you RSVP.

RSVP HERE.

Contact SEEDS Volunteer Program & Events Coordinator Sophia Oakley at oakleysophia@reed.edu if you have any questions!

  ",NA,2024-10-12,"9am to 12pm","Saturday, October 12, 2024"
"https://events.reed.edu/event/apple-picking-with-the-boston-chapter","Sunday, October 13, 2024 10am","Apple Picking with the Boston Chapter","
    Contact Eve Lyons at evelyons@yahoo.com for more information.

Come join us for another annual tradition which is Covid-friendly and also very kid friendly! We will meet at our orchard from previous years, Honeypot Hill. There's apple picking as well as apple cider donuts, farm animals, and so much more.
If you want to go and don't have access to a vehicle, reach out and we'll coordinate.

  ","Honeypot Hill Orchards",2024-10-13,"10am","Sunday, October 13, 2024"
"https://events.reed.edu/event/handel-vivaldi-autumn-light","Sunday, October 13, 2024 3pm","Portland Baroque Orchestra presents: Handel & Vivaldi: Autumn Light","
    *This concert is presented by Portland Baroque Orchestra. For questions, please contact them directly at 503-222-6000 regarding tickets and concert information.

PBO opens this season of seasons by exploring the forces of nature. Vivaldi’s “Autumn” and “Winter” from The Four Seasons vividly depict elemental change, from vibrant hues to icy embraces, followed by Handel’s commanding Silete venti, where soprano Maya Kherani delivers us through the turbulence of fall storms into the comfort of long winter nights. Cozy up with this Italian-inspired concert as music and nature seamlessly entwine.

Join us one hour before the performance for a pre-concert talk about the program. Learn more here.

  ","Kaul Auditorium",2024-10-13,"3pm","Sunday, October 13, 2024"
"https://events.reed.edu/event/cybersecurity-awareness-month-booth","Monday, October 14, 2024 1pm to 2pm","Cybersecurity Awareness Month Booth","
    Stay Cyber Safe! Visit Our Cybersecurity Awareness Table at the Quad on 10/10 and 10/30, and the Library Lobby on 10/14.
October is Cybersecurity Awareness Month! Stop by our table to learn essential tips on protecting your data and staying secure online. Whether you're a beginner or a pro, we have resources, expert advice, and best practices to keep you cyber safe. Let's work together to strengthen your online defenses. See you there!

  ","Various",2024-10-14,"1pm to 2pm","Monday, October 14, 2024"
"https://events.reed.edu/event/voting-season-self-care-nail-art-event","Monday, October 14, 2024 4pm to 6pm","Voting Season Self-Care Nail Art Event","
    Do you need a moment of self-care during election season?  

The Reedies Vote team is hosting a self-care nail art event on 10/14/24 from 4pm-6pm at the MRC Living Room.  Come do some cute nails and get voter engagement resources!

Mochi Donuts and hot tea will be served!

  ",NA,2024-10-14,"4pm to 6pm","Monday, October 14, 2024"
"https://events.reed.edu/event/a-grand-convening-crafting-your-cosmic-sandwich-and-envisioning-your-future","Monday, October 14, 2024 4:30pm to 6pm","A Grand Convening: Crafting Your Cosmic Sandwich and Envisioning Your Future","
    “A Grand Convening: Crafting Your Cosmic Sandwich and Envisioning Your Future”  
A culmination of the Memory Activism Event Series

This interactive event will include embodied and somatic visioning and a performative talk, and will culminate in a convivial act of sandwich making and eating.

Participants will be encouraged to connect thoughts about their future with approaches that include speculative and creative engagement with challenges, an integration of body and mind, and an embrace of joy and conviviality as a central tenet of overall wellness. 

Our goal is to encourage students to envision new possible futures for themselves (at Reed, in their communities, their city, and their nation) and truly feel these envisioned futures in their bodies.

By locating this in the new Aubrey R. Watzek Sports Center, we hope to highlight and draw connections between body and mind in overall wellness. The event makes practical use of this new space that is geared towards the cultivation of community outside of the classroom while engaging the body, heart, and soul. 

Supported by a grant from the NW5C for Community Engagement, in partnership with the Aubrey R. Watzek Sports Center. Open to Reed community members.

  ","Sports Center, Upper lobby",2024-10-14,"4:30pm to 6pm","Monday, October 14, 2024"
"https://events.reed.edu/event/demystifying-the-college-application-process","Monday, October 14, 2024 6pm to 8pm","Demystifying the College Application Process","
    If you or a student in your life (a family member, friend, neighbor) would like to learn more about choosing, applying to, and paying for a selective college, please join us for a dynamic information session about the admission and financial aid processes at liberal arts colleges such as Reed. Reed's offices of Admission, Financial Aid, and Special Programs are hosting this event for Reed faculty and staff families and friends, and for members of the Young Scholars program.

As well as a presentation on financial aid, we will attempt to demystify the college admission process and provide a clearer idea of what happens to an application in a selective college’s admission office. We also will discuss application questions such as:


What are colleges looking for?
How should applicants present themselves?
How does one write a strong essay?
Are there resources at Reed applicants can use?


 

Please RSVP to Laura Zientek, Associate Dean of Graduate and Special Programs, special-programs@reed.edu, by October 7th with the number in your party. Questions are also welcome.

Light refreshments will be served.

  ","Eliot Hall, 314",2024-10-14,"6pm to 8pm","Monday, October 14, 2024"
"https://events.reed.edu/event/celebrate-hispanic-and-latinaoxe-heritage-month","Tuesday, October 15, 2024 11:30am to 1:30pm","Celebrate Hispanic and Latina/o/x/e Heritage Month","
    Come Celebrate Hispanic and Latina/o/x/e Heritage Month in the Gray Campus Center Commons Cafe! The Student and Campus Life cluster in partnership with Bon Appétit has collaborated in putting together an authentic culinary menu representative of 9 different hispanic and latin american countries. We invite the Reed community to immerse themselves in a rich cultural experience through traditional ingredients, flavors and music. We will be featuring recipes from chef Brian Arteaga and other Hispanic and Latina/o/x/e community members. Mariachi México En La Piel will be playing a traditional ensemble as we celebrate!

  ","Gray Campus Center, Commons",2024-10-15,"11:30am to 1:30pm","Tuesday, October 15, 2024"
"https://events.reed.edu/event/oregon-voter-registration-deadline-tabling","Tuesday, October 15, 2024 12pm to 1:30pm","Oregon Voter Registration Deadline Tabling","
    Attention Reed community! The Oregon voter registration deadline is quickly approaching—October 15th! Don’t miss your chance to make your voice heard. Visit Reed’s TurboVote, SEEDS' trusted and nonpartisan civic engagement partner, to register, update your voter information, or request an absentee ballot. TurboVote can also send election reminders and provide candidate information with your consent. It only takes a few minutes—let’s get registered and ready to vote!

SEEDS's Voter Engagement team will be tabling on 10/15/24 from 12pm-1:30pm at the Library Foyer to provide any last minute support!

  ",NA,2024-10-15,"12pm to 1:30pm","Tuesday, October 15, 2024"
"https://events.reed.edu/event/copy-of-cs-colloquium-yao-li-portland-state-university","Tuesday, October 15, 2024 3:40pm","CS Colloquium: Yao Li, Portland State University","
    Reasoning about Laziness is Reasoning about Future: Alternative Semantics to Lazy Evaluation
Lazy evaluation is a powerful tool that enables better compositionality and potentially better performance in functional programming, but it is challenging to analyze its computation cost. Classical works often rely on either reasoning about mutable heaps or modeling sharing via explicit combinators. In this talk, I focus on a different approach: we use alternative semantics that are equivalent to lazy evaluation but more amenable to formal reasoning. I will talk about two such alternative semantics: a clairvoyant semantics based on Hackett & Hutton (2019) and a demand semantics based on Bjerner & Holmström (1989). We show how we can use these semantics to mechanically reason about computation cost of lazy functions using the Rocq Prover (formerly known as the Coq theorem prover).

Bio: Yao Li (He/Him) is an assistant professor of computer science at Portland State University. His main research area is in functional programming, interactive theorem proving, and program verification. His current research focuses on using interactive theorem provers to verify existing programs written without verification in mind. Some of his past work includes the verification of the DeepSpec web server and the verification of Haskell's containers library (using hs-to-coq). He obtained his Ph.D. from the University of Pennsylvania in 2022, under the supervision of Stephanie Weirich. Before that, h [...]","Eliot 314",2024-10-15,"3:40pm","Tuesday, October 15, 2024"
"https://events.reed.edu/event/psych-grad-school-info-session","Tuesday, October 15, 2024 4:50pm","Psych-Grad school info session","
    Are you curious about grad school for psychology? Join us on October 15th to get your questions answered and hear your professors share their grad school stories. Not sure which program fits you or if grad school is the right move? We’ve got you covered!

  ","Psychology, 103",2024-10-15,"4:50pm","Tuesday, October 15, 2024"
